ID,Year,Make,Model,Trim,Unique_ID,Horsepower,Torque,City MPG,Highway MPG,Driveline,Transmission,Hybrid,Fuel Type
CAR000001,2024,Porsche,Boxster,Touring,Porsche_Boxster_2024_Touring,349,375,23,30,RWD,Automatic,No,Gasoline
CAR000002,2019,Tesla,Model X,Platinum,Tesla_Model X_2019_Platinum,797,477,133,109,AWD,Automatic,No,Electric
CAR000003,2016,Subaru,Impreza,S,Subaru_Impreza_2016_S,325,220,25,27,4WD,Manual,No,Gasoline
CAR000004,2019,Chrysler,Pacifica,LE,Chrysler_Pacifica_2019_LE,148,262,32,30,FWD,Manual,No,Gasoline
CAR000005,2018,Tesla,Roadster,Luxury,Tesla_Roadster_2018_Luxury,341,412,147,93,AWD,Automatic,No,Electric
CAR000006,2000,Honda,CR-V,S,Honda_CR-V_2000_S,277,236,18,28,AWD,CVT,No,Gasoline
CAR000007,2020,BMW,5 Series,XLE,BMW_5 Series_2020_XLE,547,334,28,37,AWD,Automatic,Yes,Hybrid
CAR000008,2006,Nissan,Ariya,Limited,Nissan_Ariya_2006_Limited,281,146,21,29,FWD,Dual-Clutch,No,Gasoline
CAR000009,2019,Honda,CR-V,SE,Honda_CR-V_2019_SE,154,283,32,43,AWD,CVT,Yes,Hybrid
CAR000010,2001,Chevrolet,Malibu,Grand Touring,Chevrolet_Malibu_2001_Grand Touring,207,492,28,21,AWD,Manual,No,Gasoline
CAR000011,2024,Subaru,STI,Sport,Subaru_STI_2024_Sport,436,328,22,19,FWD,CVT,No,Gasoline
CAR000012,2001,Kia,K5,Signature,Kia_K5_2001_Signature,296,235,23,32,AWD,Automatic,No,Diesel
CAR000013,2004,Hyundai,Nexo,LX,Hyundai_Nexo_2004_LX,277,305,39,45,AWD,CVT,Yes,Plug-in Hybrid
CAR000014,1995,Ford,Edge,Luxury,Ford_Edge_1995_Luxury,223,462,22,27,4WD,Automatic,No,Diesel
CAR000015,2006,Porsche,Cayenne,Type R,Porsche_Cayenne_2006_Type R,504,556,17,24,RWD,Dual-Clutch,No,Gasoline
CAR000016,2006,Hyundai,Palisade,L,Hyundai_Palisade_2006_L,215,244,22,37,AWD,Automatic,No,Gasoline
CAR000017,2014,BMW,X3,Platinum,BMW_X3_2014_Platinum,600,583,18,28,AWD,Manual,No,Diesel
CAR000018,2024,BMW,Z4,Platinum,BMW_Z4_2024_Platinum,539,442,18,37,RWD,Manual,No,Gasoline
CAR000019,2003,Kia,Stinger,Grand Touring,Kia_Stinger_2003_Grand Touring,166,161,34,28,AWD,Automatic,No,Gasoline
CAR000020,2024,Lexus,UX,Touring,Lexus_UX_2024_Touring,170,191,36,46,AWD,CVT,Yes,Plug-in Hybrid
CAR000021,2000,Ford,Explorer,Touring,Ford_Explorer_2000_Touring,341,459,27,23,RWD,Automatic,No,Gasoline
CAR000022,2000,Kia,Stinger,Limited,Kia_Stinger_2000_Limited,177,205,29,37,FWD,CVT,No,Gasoline
CAR000023,2024,Nissan,Frontier,S,Nissan_Frontier_2024_S,296,388,22,38,4WD,Automatic,No,Gasoline
CAR000024,2017,Tesla,Model S,Premium,Tesla_Model S_2017_Premium,549,659,106,124,AWD,Automatic,No,Electric
CAR000025,2012,Subaru,Outback,SE,Subaru_Outback_2012_SE,120,286,30,26,RWD,Manual,No,Diesel
CAR000026,2024,Honda,Odyssey,Convenience,Honda_Odyssey_2024_Convenience,218,220,36,35,FWD,CVT,No,Gasoline
CAR000027,1995,Subaru,Legacy,Convenience,Subaru_Legacy_1995_Convenience,297,148,25,24,RWD,Dual-Clutch,No,Gasoline
CAR000028,2022,Tesla,Roadster,GT,Tesla_Roadster_2022_GT,945,591,109,117,AWD,Automatic,No,Electric
CAR000029,2012,Mercedes-Benz,EQS,XLE,Mercedes-Benz_EQS_2012_XLE,593,519,21,34,AWD,Manual,No,Gasoline
CAR000030,2010,Audi,A6,AMG,Audi_A6_2010_AMG,292,352,21,19,RWD,Dual-Clutch,No,Gasoline
CAR000031,1995,Lexus,LFA,XLE,Lexus_LFA_1995_XLE,195,161,24,34,FWD,Manual,No,Gasoline
CAR000032,2014,Hyundai,Accent,LE,Hyundai_Accent_2014_LE,282,268,33,27,FWD,CVT,No,Gasoline
CAR000033,2022,Toyota,Camry,LE,Toyota_Camry_2022_LE,222,291,27,36,AWD,Automatic,No,Gasoline
CAR000034,2015,Audi,A4,Black Label,Audi_A4_2015_Black Label,452,699,26,29,RWD,Automatic,No,Gasoline
CAR000035,2002,Kia,Soul,Premium,Kia_Soul_2002_Premium,275,222,22,26,FWD,Automatic,No,Gasoline
CAR000036,2012,Honda,Passport,Signature,Honda_Passport_2012_Signature,181,297,41,46,FWD,Automatic,Yes,Plug-in Hybrid
CAR000037,1998,Lexus,GS,Prestige,Lexus_GS_1998_Prestige,220,206,31,41,4WD,CVT,Yes,Plug-in Hybrid
CAR000038,2009,Mercedes-Benz,GLA,M,Mercedes-Benz_GLA_2009_M,397,386,19,28,RWD,Automatic,No,Diesel
CAR000039,1996,Mercedes-Benz,S-Class,Premium,Mercedes-Benz_S-Class_1996_Premium,539,393,27,34,AWD,Automatic,Yes,Hybrid
CAR000040,2017,Dodge,Charger,S,Dodge_Charger_2017_S,544,376,19,27,RWD,Manual,No,Gasoline
CAR000041,2001,Toyota,Corolla,Signature,Toyota_Corolla_2001_Signature,198,208,33,38,FWD,Automatic,Yes,Hybrid
CAR000042,2017,BMW,7 Series,Performance,BMW_7 Series_2017_Performance,642,486,14,22,RWD,Dual-Clutch,No,Diesel
CAR000043,2021,BMW,5 Series,Grand Touring,BMW_5 Series_2021_Grand Touring,202,472,37,39,AWD,Automatic,Yes,Hybrid
CAR000044,2018,Hyundai,Sonata,S,Hyundai_Sonata_2018_S,158,343,21,26,FWD,CVT,No,Gasoline
CAR000045,1997,Ford,Mustang,Sport,Ford_Mustang_1997_Sport,752,485,18,19,AWD,Automatic,No,Gasoline
CAR000046,2005,Nissan,Altima,Grand Touring,Nissan_Altima_2005_Grand Touring,303,229,25,22,4WD,CVT,No,Gasoline
CAR000047,2023,Mercedes-Benz,AMG GT,Platinum,Mercedes-Benz_AMG GT_2023_Platinum,507,456,31,35,AWD,Automatic,No,Gasoline
CAR000048,2012,Ford,Expedition,LE,Ford_Expedition_2012_LE,315,350,26,32,4WD,Automatic,No,Gasoline
CAR000049,2022,Mercedes-Benz,CLS,Performance,Mercedes-Benz_CLS_2022_Performance,410,763,14,26,AWD,Automatic,No,Gasoline
CAR000050,1996,Volkswagen,Taos,Luxury,Volkswagen_Taos_1996_Luxury,271,212,31,32,AWD,Automatic,No,Gasoline
CAR000051,2006,Subaru,Ascent,S,Subaru_Ascent_2006_S,221,187,18,32,4WD,Manual,No,Gasoline
